autor,link,descricao,enviado,estrelas
"Mateus Francisco dos Santos Silva","https://github.com/mateuscsco/GoogleIA","Integrei o Gemini com o python e inicializei o prompt para que ele possa avaliar a um link de um anúncio e responder ao usuário se se trata de um site confiável.","Sun, 12 May 2024 08:02:00 GMT","10"
"Thiago Machado Guedes","https://github.com/ThiagoMachad0/Projeto_Google/blob/main/README.md","Objetivo desse projeto é auxiliar as pessoas a criarem um roteiro de viagens de forma fácil e ágil, com toda engenharia de prompt por trás da códificação para resultar no formato personalizado e ideal para cada usuário. Para isso foi utilizando o gemini-1.5-pro-latest com a estruturação de respostas em system_instruction, visando a estrutura de um agênte de viagens. Além das configurações de Safety settings e Temperature. Por fim foi utilizado automação da conexão da API com a vículação automática do usuário com variável secrety_key","Sun, 12 May 2024 08:02:00 GMT","8"
"Altieres Aparecido de Moraes Gonçalves","https://github.com/Altsvirx/quizmaster/blob/main/quizmaster.ipynb","Este aplicativo utiliza inteligência artificial para gerar quizzes personalizados sobre qualquer disciplina. Ele permite que os usuários testem seus conhecimentos de forma interativa e envolvente. As perguntas são geradas dinamicamente, garantindo uma experiência de aprendizado nova a cada uso.","Sun, 12 May 2024 08:03:00 GMT","5"
"Lucas Dias Honório","https://github.com/Devimom/LucasDias","Embedding criado com 3 animes","Sun, 12 May 2024 08:03:00 GMT","3"
"Jeremias Antonio de Oliveira Júnior","https://github.com/Jerejuniorr/HelpHair_DesafioAlura","O código implementa um chatbot especializado em recomendar cosméticos capilares. Ele usa a API do Google Gemini Pro, um modelo de linguagem avançado, para entender a descrição do cabelo do usuário (curvatura, alergias, procedimentos realizados) e sua necessidade (ex: oleosidade, frizz). Com base nessas informações, o chatbot gera uma resposta personalizada com sugestões de produtos.","Sun, 12 May 2024 08:04:00 GMT","7"
"Rodrigo Subirá","https://github.com/rsubira7/quem_sou_eu","Quem sou eu??? O divertido jogo de adivinhar personalidades famosas através de perguntas, que devem ser respondidas apenas com Sim ou Não, acabou de ganhar uma versão digital, e o melhor: artificialmente inteligente (rs). Basta iniciar uma conversa e escolher Jogar, que o modelo de AI do Gemini vai \'pensar\' em uma personalidade, e seu objetivo é adivinhar quem é! Até você conseguir acertar, ninguém no mundo além do Gemini sabe quem é a personalidade escolhida , depois que conseguir acertar, vocês dois compartilham esse segredo. Divirtam-se!","Sun, 12 May 2024 08:04:00 GMT","10"
"Lilian Aparecida dos Santos Russo","https://github.com/LilianRusso/Projeto-AI-Alura_Google","Este projeto visa desenvolver um script em Python para auxiliar na busca e organização de informações da Wikipédia para fins de estudo. A ferramenta automatiza a pesquisa por tópicos relevantes, fornecendo resumos concisos e links para aprofundamento.","Sun, 12 May 2024 08:05:00 GMT","4"
"BRUNO HEBERTON DA SILVA","https://github.com/Heberton137/Tabuada","Tabu é um chat boot para ajudar crianças a aprenderem tabuada, como professor diariamente me deparo com jovens que não conseguem realizar cálculos de multiplicação pelo fato de não saberem a tabuada. Quero poder ajudar as crianças para que no futuro não tenham os mesmos problemas dos meus alunos.","Sun, 12 May 2024 08:06:00 GMT","7"
"Beatriz da Silva Lima do Carmo","https://github.com/beatriz200622/projetoimersaoia24","projeto simples de recomendação de música","Sun, 12 May 2024 08:06:00 GMT","6"
"André Ribeiro Rocha","https://github.com/dekomooca/ProjetoAluraGoogle-RS/tree/master","Este projeto consiste em apresentar mensagens horarias para o povo do Rio Grande do Sul após o estado de calamidade em que entraram por conta das chuvas e enchentes. Todo mundo tem pensado corretamente sobre o estado material (comida,roupa,colchão, etc) porem ninguem esta se atentando ao estado psicologico em que estão vivendo. Dessa forma, esse sistema consiste em publicar mensagens positivas no X para que sempre que se sentirem sozinhos ou sem esperaça, possam resgastar um pouco de resiliencia e fé. (Eu que escrevi isso, e não um robo, pois realmente me importo com a situação dessas pessoas)","Sun, 12 May 2024 08:08:00 GMT","4"
"Angeles Vinicius","https://github.com/angeles-vinicius/AntonioAssist_ChatBot/tree/main","O AntonioAssist é um chatbot com inteligência artificial (IA) desenvolvido para promover a inclusão digital, a interação social e o bem-estar dos condôminos do prédio Antonio Machado. Ele funciona como um assistente virtual, fornecendo informações úteis, respondendo a perguntas e conectando os moradores, especialmente os idosos, com a comunidade.","Sun, 12 May 2024 08:09:00 GMT","4"
"Gustavo Campos Passanezi","https://github.com/gcpassanezi/Projeto_Alura-Google_Italianinho-GCP","Um chatbot da empresa Italiano Hortifruti, no qual os clientes podem verificar a disponibilidade dos produtos da empresa para fazerem seus pedidos. O chatbot tem o nome Italianinho, que é o mascote da empresa","Sun, 12 May 2024 08:14:00 GMT","4"
"marcos pereira","https://github.com/msmarkynhoss/projetinho_ALUR4","Basicamente, o script pede informações sobre a plataforma onde os vídeos serão postados, o nicho dos vídeos e a ideia principal para o próximo vídeo. Em seguida, usa essas informações para gerar ideias detalhadas, incluindo título, descrição, roteiro, sugestões visuais para miniatura, chamadas para ação e hashtags relevantes.","Sun, 12 May 2024 08:15:00 GMT","5"
"Carla Aparecida Sant\'Ana e Pedro Henrique Lima Xavier Dutra","https://github.com/wegotmo/CriptoInvest-Monitor","Este é um projeto em Python que utiliza a API do Google para autenticação e armazenamento seguro de dados e a API do Gemini para acessar informações de mercado sobre criptomoedas. O objetivo do projeto é permitir que os usuários gerenciem e monitorem seus investimentos em criptomoedas de forma eficaz.","Sun, 12 May 2024 08:18:00 GMT","14"
"Claytom Valle","https://github.com/AbadeC/ProjetoImersaoAI/tree/main","A proposta deste projeto, resultado da Imersão AI do Google Gemini e Alura, é criar um Chatbot, chamado Zig, que responda as perguntas dos usuários com base em PDFs preparados como Base de Conhecimento. Seus usos serão em interação com Clientes, Fornecedores, comunidade ou mesmo para ajudar estudantes em seus estudos.","Sun, 12 May 2024 08:18:00 GMT","4"
"Vicente Eduardo Ribeiro Marçal","https://github.com/Riverfount/vm-ia-dengue","Este é um projeto experimental que busca, a partir de alguns documentos com informações sobre a Dengue, alimentar o Gemini, inteligência artificial do Google, e a partir dessas informações responder qualquer pergunta a ele feita.","Sun, 12 May 2024 08:18:00 GMT","7"
"Marcio dos Santos Vasconcelos","https://github.com/masanvasg/Imers-o-IA-Alura-Google/tree/main","O projeto é referente à um protótipo de uma composteira residencial, que poderia ser utilizada em casas, apartamentos e quitinetes. Além do seu tamanho apropriado ela também contaria com um sistema de automação, que dispensaria a necessidade do proprietário de dispensar muito tempo com cuidados durante o processo de compostagem.","Sun, 12 May 2024 08:18:00 GMT","4"
"Vitor Bastos Oliveira","https://github.com/Bastor99/ProjetoImersaoAlura","Chatbot chamado Zero, focado em games.","Sun, 12 May 2024 06:47:00 GMT","4"
"Carlos Eduardo Do Nascimento Vieira","https://github.com/studantprogramat/untitled/blob/main/Untitled1.ipynb","uma melhoria do modelo da aula 4, melhorei o modelo da aula espero que goste","Sun, 12 May 2024 06:48:00 GMT","2"
"Felipe Eduardo Neves de Oliveira","https://github.com/felipeEddy/Alura-IA","Chatbot para perguntas e análises sobre Star Trek.","Sun, 12 May 2024 06:49:00 GMT","3"
"Marco Aurelio Estevam","https://github.com/Markoae/Chatbot_VITA","O VITA é um projeto que implementa um chatbot para triagem de pacientes na fila de espera para teleatendimento em cuidados paliativos no sistema de saúde pública. Seu objetivo é otimizar o processo de triagem, identificando pacientes que realmente necessitam de cuidados paliativos e reduzindo o tempo de espera para aqueles em estado mais crítico dando uma maior qualidade de vida para esses pacientes.","Sun, 12 May 2024 06:49:00 GMT","19"
"Beatriz Dea","https://github.com/beatrizdea-pd/SketchInspira/tree/main"," SketchInspira  Descrição: Imagine um app que transforma suas ideias em briefings detalhados em um piscar de olhos. Com o SketchInspira, você pode dar vida aos seus projetos de forma rápida, eficiente e criativa. Através da inteligência artificial da google, o Gemini, o SketchInspira interpreta briefings em forma de texto ou imagens, extraindo as ideias principais, o público-alvo e os requisitos do projeto. Incrível, né? Mas não para por aí! Tire uma foto do seu produto ou ideia do papel e o SketchInspira gera um briefing detalhado para você a partir do seu sketch. E ainda tem mais! Ele cria conceitos e traz tendências para produtos físicos com base em seus briefings, permitindo que você explore diferentes estilos e possibilidades rapidamente. E para te ajudar a refinar seus designs, o SketchInspira oferece feedback instantâneo, otimizando o processo criativo focado em auxiliar o designer. Com esse app, você acelera o desenvolvimento de produtos, explora mais ideias em menos tempo, supera bloqueios cr","Sun, 12 May 2024 06:52:00 GMT","2"
"Luis Eduardo Lazarim","https://github.com/LuiLazarim/Imerss-o_IA_projeto_ensalamento/tree/main","Projeto de ensalamento de professores em curso presencial","Sun, 12 May 2024 06:52:00 GMT","2"
"Enrico Lopes Marques","https://github.com/enricolopesmarques/Projeto_Imersao_IA_Alura","Este projeto implementa um Assistente de Compras de Supermercado inteligente utilizando a API do Google Gemini. A ferramenta coleta informações do usuário sobre suas necessidades de compra, incluindo número de pessoas, duração da compra, restrições alimentares, hábitos alimentares e alergias e o estoque atual de produtos na despensa ou geladeira. Com base nesses dados, o sistema gera uma lista de compras personalizada, organizada por categorias e com quantidades especificadas, considerando os produtos da imagem da despensa do usuário para evitar desperdícios.","Sun, 12 May 2024 06:53:00 GMT","5"
"Rafael Wohlemberg Rossi","https://github.com/rafaelwrossi/alura_desafio","# Projeto de IA para Orientação em Enchentes na Região Sul do Brasil Com base nas suas definições, podemos detalhar o projeto: 1. Nome do Projeto: Anjo da Guarda - Enchentes Sul (pode ser modificado) 2. Objetivo: Prover informações e orientações em tempo real à população da Região Sul do Brasil durante enchentes, utilizando IA e dados abertos. 3. Público Alvo: Moradores da Região Sul do Brasil, de diferentes faixas etárias e níveis de alfabetização digital. 4. Dados: Históricos: Dados abertos sobre enchentes nos últimos 5 anos, incluindo localização, intensidade, danos e ações tomadas. Fontes: Defesa Civil, Corpo de Bombeiros, etc. Geográficos: Dados do IBGE sobre a Região Sul: mapas de elevação, áreas de risco de enchente, bacias hidrográficas, dados demográficos, etc. Meteorológicos: Integração com a API do INMET para obter previsões do tempo em tempo real, alertas de chuvas intensas e riscos de enchentes. 5. Tecnologia: Gemini: A IA do Google, treinada com os dados coletados, será o cérebro do aplicati","Sun, 12 May 2024 06:55:00 GMT","5"
"Marcelo Savastano","https://github.com/MSAVA01/DESAFIO_ALURA/tree/main","O projeto analisa 2 fotos e mostra a diferença entre elas. A primeira foto é a padrão, tirada no momento zero e a segunda foto é a atual. O programa vai mostrar a diferença entre elas. As fotos devem ser tiradas de drone com coordenadas, assim a foto padrão e a foto2 foram tiradas da mesma posição. Ela serve para analisar mudanças na estrutura de uma barragem de água ou numa peça grande que sofre desgaste. Pensando numa barragem, o drone vai ter tirado inúmeras fotos que ficam difíceis de serem analisadas uma a uma por um ser humano. Com o programa ele vai mostrar qual foto tem diferença e com isto analisa apenas aquela foto ou vai in loco na barragem para analisar o ponto.","Sun, 12 May 2024 06:55:00 GMT","1"
"Dalmo Henrique Costa de Oliveira","https://github.com/DalmoHenrique/ChatGlot/tree/main","ChatGlot - Aprenda qualquer idioma","Sun, 12 May 2024 06:55:00 GMT","3"
"Elyon Ortiz Costa","https://github.com/ElyonOrtiz/Imers-oAiAlura","Gerador de conogramas de estudos baseado em copetências e conhcimentos do indivíduo","Sun, 12 May 2024 06:57:00 GMT","14"
"Ricardo Nunes","https://github.com/pricardosn/Profzinho","O objetivo do projeto é criar um meio de facilitar o aprendizado de estudantes, independente do momento acadêmico que estejam. Então através de informações simples passadas ao Gemini ele monta um roteiro de estudo com instruções para apoiar o aluno em seu cronograma de estudo. No momento as capacidades do sistema são limitadas, mas ele pode evoluir para fornecer além do roteiro o conteúdo do estudo, poderá ser usado para montar planos de aula, podem ser criados e passados mais parametros para aprofundar mais o perfil do aluno permitindo que ele crie roteiros de acordo com as difculdades que os alunos tenham, seja interpretação de texto, TDH, autismo, down etc. O conceito geral é utilizar a IA para promover o aprendizado, moldando a forma de estudar ao perfil do aluno.","Sun, 12 May 2024 06:58:00 GMT","3"
"Camila Carla Ventura de Oliveira","https://github.com/camilaventur/Aula4.git","Acompanhamento da aula 4","Sun, 12 May 2024 06:59:00 GMT","2"
"Matheus Ricardo Uihara Zingarelli","https://github.com/zingarelli/onde-eu-parei","Cansado de abandonar leituras por falta de tempo ou por não lembrar o que aconteceu? Chega de frustração! Com o meu notebook inovador, você terá um guia particular na sua jornada literária. Imagine só: resumo completo do livro até o capítulo que você parou, respostas precisas às suas perguntas sem spoilers e um diálogo empolgante sobre seus livros favoritos. O notebook é perfeito para leitores ávidos, estudantes e apaixonados por literatura. Vote no meu projeto e ajude a democratizar o acesso ao conhecimento! #IA #Alura #Gemini #Google #Inovação. (Texto criado pelo Gemini, posteriormente adaptado por um humano.)","Sun, 12 May 2024 07:00:00 GMT","2"
"Bruna Batista Guimarães","https://github.com/brunagmrs/projetoSugestaoGames","O projeto é um chatbot de sugestões de jogos para o usuário de acordo com suas preferências informadas ao chat","Sun, 12 May 2024 07:00:00 GMT","4"
"Gabriel dos Santos Motroni","https://github.com/gabrielmotroni-prog/de-olho-na-compra/tree/feature-de-olho-na-compra","Utilizando um modelo de IA chamado Gemini, nosso aplicativo é capaz de ler etiquetas de produtos com precisão e rapidez, tornando a experiência de compra mais eficiente e conveniente.","Sun, 12 May 2024 07:01:00 GMT","7"
"Tiago Silveira Rizzi","https://github.com/tiago-rizzi/desafio_alura_google","Desenvolvi um projeto com o objetivo de simplificar a análise de planilhas, aproveitando a poderosa inteligência artificial do Google. Reconheço o desafio que muitas vezes enfrentamos ao tentar compreender e realizar análises detalhadas de dados, um processo que pode consumir um tempo significativo. Com esta solução, busco proporcionar uma maneira mais eficiente e ágil de realizar essas análises.","Sun, 12 May 2024 07:02:00 GMT","4"
"Alexandre de Mendonça Roberto","https://github.com/AlxmRoberto/Projeto_Imersao_IA","Ensinamento Estoico - O usuário é convidado a dizer como se sente com uma palavra e então é apresentado um texto motivacional baseado na emoção do usuario e a filosofia estoica.","Sun, 12 May 2024 07:03:00 GMT","4"
"Guilherme Fernandes Corso","https://github.com/GuiifCorso/Alura-Gemini/blob/main/README.md","Meu projeto, chamado AI\'Eye, surge como uma alternativa que proporciona a acessibilidade digital àqueles com alguma deficiência visual. AI\'Eye analisa todas as imagens de uma página na internet e as descreve no idioma nativo do usuário, além de contar com a descrição em texto, o programa também executa um áudio para cada comando ou descrição, facilitando ainda mais a utilização. Busquei implementar funcionalidades que além de ajudarem, sejam fáceis de usar e garantam uma boa relação com o usuário. Qualquer um pode testar em diferentes línguas e sites e ter sua própria experiência com o programa. O que mais gostei foi a capacidade de expandir o projeto, que ainda está em fases iniciais.","Sun, 12 May 2024 07:05:00 GMT","4"
"Larissa dos Santos Manrique","https://github.com/larissassk/Imersao-IA-alura-google","Um chatbot que utiliza o SDK do Google GenerativeAI para interagir com modelos de linguagem de inteligência artificial fornecidos pelo Google.","Sun, 12 May 2024 07:06:00 GMT","3"
"Lucas Oliveira Cunha","https://github.com/LcasCunha/Gemini_Alura_11_05_2024","Sou um entusiasta de marketing digital e estou criando um sistema inovador no Google AI Studio para gerar ideias de conteúdo incríveis, mesmo sem ser um expert em programação.","Sun, 12 May 2024 07:07:00 GMT","3"
"Roberto Marques de Lima Costa","https://github.com/betocostadev/gcolab-wellness-bot/tree/main","Wellness Bot - Um chatbot que irá entender seus objetivos de saúde, nutrição, exercícios e irá interagir com você para que você consiga atingir os seus objetivos.","Sun, 12 May 2024 07:07:00 GMT","3"
"Leonardo Simões","https://github.com/leosimoes/Streamlit-Gemini-DockerGenerator/tree/master","Aplicação Web feita em Python com Streamlit que utiliza o Gemini da Google para criar contéudos para os arquivos docker-compose.yml e Dockerfile dada uma descrição do sistema desejado.","Sun, 12 May 2024 07:07:00 GMT","3"
"Rodrigo Almeida","https://github.com/rodrigolowcode/profchat_imersao_alura","O App ProfChat foi desenvolvido com a missão de auxiliar estudantes e entusiastas da língua portuguesa em sua jornada de aprendizado. O aplicativo oferece diversas funcionalidades para aprimorar sua escrita e conhecimentos gramaticais: 1. Chatbot Inteligente: Tire suas dúvidas sobre a língua portuguesa de forma interativa e personalizada com nosso chatbot inteligente. Esclareça suas dificuldades gramaticais, ortográficas e de pontuação, e receba respostas claras e objetivas. Além disso, você pode usar a função de leitura em voz alta para ouvir as respostas do chatbot 2. Transcrição e Análise de Textos: Transcreva e analise suas redações ou qualquer outro texto, seja escrito à mão ou impresso. Basta fotografar o texto em tempo real ou carregar uma imagem da galeria e o aplicativo fará a transcrição instantaneamente. Em seguida, o chatbot irá analisar o texto e sugerir melhorias gramaticais, ortográficas e de estilo, para que você aprimore sua escrita de forma completa.","Sun, 12 May 2024 07:13:00 GMT","3"
"Yasmim Abrahão","https://github.com/TinyHero13/analyzer_gemini_csv","Um assistente de Análise de Dados, que processa planilhas, e também as transforma em gráficos dinâmicos e tabelas e ainda mostra como foram feitos essas transformações na linguagem Python. Possui uma interface no estilo de chatbot, mostrando o histórico das mensagens. Foi utilizada o modelo Gemini, do Google e também a biblioteca Streamlit do Python para sua interface gráfica.","Sun, 12 May 2024 07:14:00 GMT","16"
"Bruno Lauria","https://github.com/lokolope24/Imersao_IA_Alura","HelpDesk Assist -> instruir os novatos por meio de um histórico comprovado de soluções eficazes em infraestrutura. Imagine ter um profissional experiente sempre disponível, pronto para orientar você através de cada desafio com a sabedoria de anos de experiência.","Sun, 12 May 2024 07:15:00 GMT","5"
"Lázaro Kauã Rocha da Silva","https://github.com/Lazarokaua/chat_model_LLM","O presente projeto visa esclarecer, através da inteligência artificial, a diferença entre dois diagnósticos distintos confundidos como semelhantes.","Sun, 12 May 2024 07:16:00 GMT","6"
"Juliane dos Santos França","https://github.com/julianee112/Projeto-da-Imers-o/blob/main/Untitled2.ipynb","Chatbot com o intuito de conectar mães desempregadas à salões de beleza, academias, grupos e demais afiliados que possam oferecer tais serviços por custos baixos. A intenção é reintegrá-las à sociedade e fazê-las não se sentirem sozinhas durante o puerpério.","Sun, 12 May 2024 07:16:00 GMT","7"
"Thiago Seiki Kato","https://github.com/thiagokato80/alura_projects/blob/main/Alura_Projeto_01_Desafio.ipynb","Projeto é uma IA que lê informações de sites com informações sobre os candidatos a prefeitura de São Paulo, guarda as informações para serem utilizadas nas respostas das perguntas","Sun, 12 May 2024 07:21:00 GMT","4"
"Antonino Marques Jares","https://github.com/Antonino-Marques-Jares/EMBEDDING_ACORDAOS_TCEAC/tree/main","Criar Embeddings de Acórdãos do Tribunal de Contas do Estado do Acre para procurar Acórdão por assunto de interesse.","Sun, 12 May 2024 07:22:00 GMT","3"
"Bruno Kiyota Gomes de Oliveira","https://github.com/BK-1314/Imers-o-IA-2a-Edicao","Imagine um mundo onde a matemática se transforma em uma aventura emocionante, onde problemas chatos ganham vida com as cores vibrantes do Minecraft, a força bruta dos dinossauros ou a velocidade dos trens!  Apresentamos o MathFun, um projeto inovador que usa a inteligência artificial para personalizar o aprendizado da matemática e torná-lo irresistível para crianças. Cansado de ver seu filho lutando com a lição de matemática? MathFun é a solução! Conte-nos sobre os interesses da criança, insira o problema que está causando dificuldades e veja a mágica acontecer! Nosso sistema traduz o problema em uma narrativa cativante, utilizando elementos que a criança adora. Deixe a frustração de lado e embarque em uma jornada de aprendizado divertida e eficaz com o MathFun!","Sun, 12 May 2024 07:23:00 GMT","6"
"LançaAI: Letras de Rita Lee aprofundadas com Gemini","https://github.com/vicenteparmi/lancaai","Conheça mais a fundo as músicas mais ouvidas de Rita Lee com o auxílio do Gemini! Mergulhe nas letras, explore os sentimentos que permeiam cada canção, desvende o contexto histórico e cultural em que foram criadas, identifique as influências musicais e literárias que as moldaram, e descubra as correlações entre as diferentes obras da artista. Acesse a versão web para uma experiência interativa e intuitiva, e desvende a obra de Rita Lee de uma forma totalmente nova. Combinando a potência do Flutter com a inteligência do Gemini, o LançaAI é uma plataforma inovadora que te convida a explorar as camadas ocultas por trás das canções mais icônicas de Rita Lee. Desenvolvido durante a Imersão AI Alura + Google, o LançaAI é uma homenagem à criatividade e ao legado de uma das maiores artistas brasileiras.","Sun, 12 May 2024 07:23:00 GMT","4"
"Marcio Luis Kroth","https://github.com/marcioluiskroth/imersao_ai_alura/blob/main/AIdeaBot.ipynb","Título do Projeto: Chatbot Interativo com API Generativa do Google Descrição: Este projeto apresenta uma aplicação revolucionária desenvolvida para o Google Colab que integra a poderosa API generativa do Google, permitindo aos usuários interagir e realizar diversas tarefas textuais de maneira dinâmica e personalizada. Utilizando tecnologias de ponta em modelagem de linguagem natural, o sistema oferece uma interface intuitiva e adaptável para qualquer tipo de usuário, desde estudantes até profissionais em busca de automatização e eficiência em processos baseados em texto. Objetivo: O objetivo principal deste projeto é democratizar o acesso a tecnologias de inteligência artificial avançada, permitindo aos usuários sem conhecimentos profundos em programação a capacidade de realizar tarefas complexas, como geração de prompts e em consequencia conteúdo, análise de dados e automatização de respostas, através de uma interface simples e interativa. Funcionalidades Principais: Configuração Automatizada: Instalação e c","Sun, 12 May 2024 07:24:00 GMT","2"
"EDILSON SOUZA DA SILVA","https://github.com/EDI-SOUZA/projeto_imersao_ia_alura_chat.git","Meu projeto visa desenvolver um ChatBot para todo tipo de dúvida sem utilizar discurso de ódio, racismo, conteúdo sexual ou afins. O objetivo é melhorar a experiência do usuário, fornecendo respostas acertivas e esperadas pelo usuário. No Chat os usuários poderão interagir com ele através de mensagens de texto.","Sun, 12 May 2024 07:25:00 GMT","3"
"Alexandre Ozorio Cruz","https://github.com/AlexandreOzorio/WECARE","WECARE: A solução inovadora para transformar a experiência do paciente na sua clínica ou hospital. Eleve o atendimento a um novo patamar com o WECARE, um chatbot inteligente que vai além da automação, se tornando um verdadeiro aliado na jornada da saúde dos seus pacientes. O que o WECARE oferece: Agendamento descomplicado: Ofereça aos seus pacientes a conveniência de agendar, reagendar ou cancelar consultas e exames a qualquer hora, de qualquer lugar, através do nosso chatbot intuitivo. Reduza filas e otimize o tempo da sua equipe. Acompanhamento completo: mantenha seus pacientes informados e engajados com lembretes personalizados sobre consultas, exames e medicações. Permita que acessem seus resultados de exames online com segurança e rapidez, sem precisar esperar pela entrega física. Suporte personalizado: ofereça um atendimento humanizado e personalizado, respondendo dúvidas sobre medicações, acompanhando efeitos colaterais e orientando em cada etapa do tratamento, inclusive sugerindo aos pacientes o retor","Sun, 12 May 2024 07:26:00 GMT","5"
"Edson Henrique Vaz","https://github.com/xarutoloko10/Projeto_Imersao_Alura","Projeto em Python com o intuito de realizar a identificação de plantas comestíveis ou venenosas.","Sun, 12 May 2024 07:27:00 GMT","6"
"Ana Cecilia da Silva da Silva","https://github.com/AnaSlv1/Projeto_Imers-o_Alura/blob/main/Ana_chatbot_desafio_alura.ipynb","projeto chat bot desafio alura com gemini google","Sun, 12 May 2024 07:27:00 GMT","2"
"Luiz Gustavo","https://github.com/lg-pereira/FixBot/","O Fin Bot é um assistente virtual inovador que oferece suporte especializado em situações pós-desastres. Sua robusta arquitetura, combinando a API Google Gemini com a simplicidade do Streamlit, fornece aos usuários orientações passo a passo e auxílio técnico de alto nível.","Sun, 12 May 2024 07:28:00 GMT","3"
"Alef Amazonas Batista","https://github.com/alefbatista1/Tradutor-YANOMAMI-PORTUGU-S.git","Tradutor de palavras yanomami para português com opção de uso do google tradutor *LER README NO GITHUB","Sun, 12 May 2024 07:29:00 GMT","48"
"MARCELO LEMOS ROSSI","https://github.com/marcelo-rossi/IARPG_Master/blob/main/IARPG_Master.ipynb","Está a fim de se divertir. Que tal participar de uma aventura de RPG? Este projeto te leva a uma aventura em um ambiente medieval onde você como protagonista deseja entrar para uma guilda de ladrões, mas para isso você deverá passar pelo seu primeiro desafio antes de ser aceito. Topa jogar este jogo único criado para você e só para este momento? A cada retorno você irá curtir um jogo completamente novo.","Sun, 12 May 2024 07:30:00 GMT","10"
"Rhavy de Assis Sousa Medeiros","https://github.com/RhavydeAssis/Projeto_Imersao_Cleiton_e_Cleitin/tree/main","A descrição estará no readme","Sun, 12 May 2024 07:32:00 GMT","3"
"Joselino","https://github.com/joselinosantos/businessflix-backend","Plataforma de conteúdo sobre negócios estilo portal com Chatbot e recomendação Just in time. A plataforma tem o propósito de oferecer séries de conteúdo no formato streaming no nicho de negócios proporcionando uma experiência amigável ao usuário. Ainda oferece um Chatbot inteligente especialista em consultoria de negócios para empresas brasileiras com capacidade para orientar, informar, tirar dúvidas sobre os conteúdos da plataforma e o que mais o usuário precisar.","Sun, 12 May 2024 07:32:00 GMT","3"
"Rafael Lima Herzer","https://github.com/RLHerz/AssistenteDeAdaptacao","Este código visa adaptar materiais de sala de aula para alunos com dificuldades de aprendizado, auxiliando o planejamento do professor e a inclusão e adaptação do aluno. Neste primeiro momento, o foco está nos estudantes com dislexia.","Sun, 12 May 2024 07:33:00 GMT","5"
"Pedro Matta","https://github.com/pedromatta/cody","Cody é um chatbot com a inteligência artificial da Gemini Pro, da Google. Seu objetivo é ajudar estudantes começando na área de tecnologia, podendo responder dúvidas sobre programação e auxiliar no aprendizado de uma nova linguagem. Peça para ele lhe explicar o que há de errado com seu código, ou pra desenvolver exercícios para treinar seus conhecimentos.","Sun, 12 May 2024 07:34:00 GMT","4"
"Wallace Bezerra da Silva","https://github.com/Wallace-Bezerra/Omnia-AI-Vision","Traduza objetos do mundo real instantaneamente com o poder da IA e expanda seus horizontes! Descubra um mundo de possibilidades com o aplicativo que traduz o mundo real através do poder da IA. Imagine apontar seu celular para qualquer objeto e instantaneamente descobrir não apenas o seu nome, mas também a sua tradução em diversos idiomas. Com o Omnia AI Vision, isso se torna realidade! Utilizando a avançada tecnologia do Gemini Pro Vision, nosso aplicativo identifica objetos em imagens e abre um portal para um novo nível de compreensão do mundo ao seu redor. Experimente a magia da tradução visual: - Explore o mundo sem barreiras: Uma ferramenta indispensável para viajantes, estudantes de idiomas e qualquer pessoa curiosa para desvendar o mundo. - Amplie seus conhecimentos: Aprenda novas palavras em diversos idiomas e ouça a pronúncia correta, expandindo seus horizontes linguísticos. Recursos que você vai amar: - Reconhecimento preciso de objetos: Capture uma imagem ou escolha da sua galeria e deixe a IA fa","Sun, 12 May 2024 07:34:00 GMT","12"
"Daniel Hallen","https://github.com/D-Hallen/GymBot-Imers-o-Alura-IA","GymBot: Seu parceiro fitness com o poder do Google Gemini!  O GymBot chegou para revolucionar sua jornada fitness! Com a inteligência artificial do Google Gemini, ele oferece:  Treinos personalizados: Treinos sob medida para seus objetivos, nível e preferências.  Dietas inteligentes: Planos alimentares personalizados que atendem às suas necessidades nutricionais.  Assistente virtual: Ajuda instantânea com dúvidas sobre exercícios, receitas e muito mais! Com o GymBot, você tem um coach de saúde pessoal na palma da sua mão, tornando sua jornada fitness mais fácil e divertida! �","Sun, 12 May 2024 06:00:00 GMT","6"
"Jean de Figueiredo","https://github.com/j0tad3v/projeto_AI_LivroMagico","O código inicial do Projeto Livro Mágico visa proporcionar uma experiência educativa interativa para as turmas iniciais, incentivando a criatividade e tornando as aulas mais inclusivas e cativantes. Funções do código inicial: Personagem e cenário: Os professores podem criar um personagem e um cenário personalizados, adaptando a história de acordo com o tema escolhido para a aula. História curta e criativa: O código permite a inserção de uma história curta e criativa, além de interações divertidas que os alunos podem desfrutar enquanto aprendem. Interação das turmas iniciais: Cada estudante pode interagir com a história em tempo real, participando ativamente da construção do conhecimento e compartilhando suas próprias ideias. Objetivos educacionais: Desenvolvimento da criatividade: O código inicial estimula a imaginação e a capacidade de construir histórias dos alunos. Aulas mais inclusivas: Com histórias personalizadas e interações em tempo real, o Projeto Livro Mágico torna as aulas mais atrativas e","Sun, 12 May 2024 06:00:00 GMT","2"
"Gabriel Oliveira Rddrigues","https://github.com/gabriel-codart/HAL9000","A ideia é que o Gemini atue com base no modus operandi do personagem HAL-9000 da série de filmes e livros 2001: Uma Odisséia no Espaço, replicando suas memórias e personalidade.","Sun, 12 May 2024 06:01:00 GMT","5"
